Quarter,LGDP_SA,Inflation,Crude_YoY,FX_YoY,Rainfall_YoY,ogap,trend_inf,exp_inf_ahead
30-06-2000,5.993761973,5.263157895,0.32049934,-1.270942518,27.982,0.620352673,3.100577677,2.949463919
30-09-2000,5.999228054,4.143862392,11.51627086,-2.862946342,-100.646,0.437928491,3.212953303,3.100577677
31-12-2000,5.998034185,2.986217458,-0.655217756,-2.541631595,-59.278,-0.073077589,3.330564379,3.212953303
31-03-2001,6.00127193,2.934362934,-12.05043133,0.144614369,-30.42,-0.212714657,3.463853004,3.330564379
30-06-2001,6.010115832,2.727272727,2.572499668,-0.740780217,55.266,0.029855851,3.57672068,3.463853004
30-09-2001,6.014955924,4.654654655,-5.482119432,-0.823847943,-125.604,-0.089737048,3.714664975,3.57672068
31-12-2001,6.025373804,4.758364312,-23.59496131,-1.421063625,-1.444,0.259669557,3.794648418,3.714664975
31-03-2002,6.028444261,5.101275319,8.337715966,-1.211934371,-7.826,0.094015077,3.861679647,3.794648418
30-06-2002,6.032370156,4.498525074,20.42979597,-0.802769559,-0.842,0.078625135,3.890026934,3.861679647
30-09-2002,6.034070818,4.017216643,6.900882334,0.731586459,-206.902,-0.093124145,3.902593761,3.890026934
31-12-2002,6.035878618,3.619588361,-1.058101094,0.728516653,-49.57,-0.323179168,3.900101459,3.902593761
31-03-2003,6.042137485,3.783012134,17.55537479,0.995330422,14.638,-0.362984592,3.897449077,3.900101459
30-06-2003,6.05383222,4.728299224,-15.37869034,1.602330767,-28.98,-0.1472391,3.908756918,3.897449077
30-09-2003,6.065015469,3.379310345,7.055053107,2.20302271,10.298,-0.088344601,3.877661115,3.908756918
31-12-2003,6.084401119,3.356164384,3.472677028,1.129149049,-3.646,0.691677809,3.885811763,3.877661115
31-03-2004,6.07817815,3.988995873,9.372396916,0.559211894,-19.89,-0.478976458,3.924641084,3.885811763
30-06-2004,6.092710252,2.69541779,10.84211371,0.64805306,25.512,-0.009632241,3.944705784,3.924641084
30-09-2004,6.104523562,4.202801868,13.81947303,-2.609135212,-103.814,0.192041249,4.049996212,3.944705784
31-12-2004,6.109201155,4.174950298,5.329072632,2.807068888,-11.634,-0.150638283,4.153272315,4.049996212
31-03-2005,6.119218588,4.232804233,8.341766926,2.727664511,61.1,-0.091361655,4.292731744,4.153272315
30-06-2005,6.131803826,4.002624672,9.820265503,0.252694194,-33.16,0.147435065,4.459353452,4.292731744
30-09-2005,6.138431959,3.71318822,18.10656058,-0.221481429,14.558,-0.077313107,4.654515553,4.459353452
31-12-2005,6.148230995,5.025445293,-5.716489074,-3.738740875,11.054,-0.054320201,4.910887787,4.654515553
31-03-2006,6.160744855,4.880076142,7.918120147,2.216602349,-6.048,0.189414109,5.161963936,4.910887787
30-06-2006,6.163662385,6.329337539,11.9314499,-2.43389426,-5.386,-0.348331391,5.471482982,5.161963936
30-09-2006,6.179482507,6.604320988,0.70587488,-1.855730326,58.91,0.097002415,5.780278554,5.471482982
31-12-2006,6.188805254,6.846153846,-14.21401296,3.118723344,-25.704,-0.009151293,6.112772874,5.780278554
31-03-2007,6.201371249,7.00280112,-3.032291103,1.808060957,3.452,0.189343635,6.467416105,6.112772874
30-06-2007,6.207828237,6.318681319,15.56604327,7.206443129,18.81,-0.058990111,6.827350884,6.467416105
30-09-2007,6.216541796,6.702412869,11.13287154,1.673561343,52.742,-0.133077268,7.231704855,6.827350884
31-12-2007,6.233550096,5.511811024,19.20010966,2.685618356,-33.394,0.492001672,7.620110209,7.231704855
31-03-2008,6.238679216,6.282722513,8.787166551,-0.789422469,10.236,0.338247246,8.060032663,7.620110209
30-06-2008,6.240662015,7.751937984,26.92761827,-4.610797827,19.662,0.130620687,8.517174218,8.060032663
30-09-2008,6.243335766,9.045226131,-4.371067542,-4.67431806,-38.43,0.085516865,8.966851306,8.517174218
31-12-2008,6.242448592,10.19900498,-51.59054936,-10.27524961,-33.802,-0.238086441,9.400889812,8.966851306
31-03-2009,6.240373515,9.359605911,-21.22576104,-2.006283298,-29.422,-0.848725341,9.764580582,9.400889812
30-06-2009,6.259938342,8.872901679,34.18169502,2.237438929,-98.762,-0.003583929,10.08527458,9.764580582
30-09-2009,6.271671048,11.75115207,15.23850075,0.510262217,-98.628,0.088484925,10.40953055,10.08527458
31-12-2009,6.279346321,13.31828442,10.68803522,3.819805525,15.452,-0.143429583,10.63387099,10.40953055
31-03-2010,6.294132867,15.31531532,2.060377586,1.559804533,-28.462,0.202535931,10.80057259,10.63387099
30-06-2010,6.30093929,13.65638767,1.4466495,0.547898836,-13.844,-0.067787381,10.82925126,10.80057259
30-09-2010,6.311123817,10.30927835,-3.412950663,-1.780380393,52.314,-0.062611659,10.76282706,10.82925126
31-12-2010,6.325525512,9.163346614,13.12785952,3.64446237,28.19,0.302695073,10.68375938,10.76282706
31-03-2011,6.33742343,8.877864583,16.77621032,-0.876851668,-13.228,0.650216129,10.57285678,10.68375938
30-06-2011,6.336512818,9.332041344,10.32819686,1.167084831,9.23,0.245299059,10.44433612,10.57285678
30-09-2011,6.328696007,8.892461059,-6.340843544,-2.21981244,8.728,-0.641422817,10.27815517,10.44433612
31-12-2011,6.340722911,8.754014599,0.084359258,-10.29930814,-57.662,-0.092448109,10.10748747,10.27815517
31-03-2012,6.35048623,7.773188134,9.067971197,1.380987703,-18.082,0.173168719,9.907183294,10.10748747
30-06-2012,6.355069268,9.907235622,-8.611333997,-7.20656915,-60.116,0.069173233,9.758956771,9.907183294
30-09-2012,6.357968248,10.02515271,-0.054160365,-1.851568663,13.24,-0.144908206,9.552904563,9.758956771
31-12-2012,6.364838177,9.764664559,-0.822790132,2.042379563,-18.92,-0.083073366,9.319294436,9.552904563
31-03-2013,6.372305985,10.48780488,3.101684199,-0.062892789,-6.586,-0.023621023,9.079699955,9.319294436
30-06-2013,6.379817272,9.216745442,-5.487176931,-3.206505466,38.98,0.023548977,8.764993495,9.079699955
30-09-2013,6.385580641,10.0914435,8.125888945,-9.916043113,-3.216,-0.07878276,8.460540913,8.764993495
31-12-2013,6.394512269,10.592,-2.681164457,0.151400706,32.102,0.065903477,8.118633996,8.460540913
31-03-2014,6.397998346,7.663197729,-0.820304209,0.397536968,7.674,-0.262382568,7.68183533,8.118633996
30-06-2014,6.411489592,7.449768161,2.569434764,3.381313951,-76.892,0.1779885,7.285258251,7.68183533
30-09-2014,6.418396014,6.674577277,-5.589114393,-1.353753742,-20.052,0.117908295,6.86884871,7.285258251
31-12-2014,6.422134776,4.050925926,-25.68686489,-2.279591516,-32.07,-0.158993848,6.414822506,6.86884871
31-03-2015,6.429726308,5.272407733,-30.85814725,-0.396567094,31.736,-0.181426667,6.051237645,6.414822506
30-06-2015,6.442002306,5.092059839,17.21352091,-1.977180332,52.2,0.113944909,5.677340668,6.051237645
30-09-2015,6.449486132,3.948832036,-19.32471925,-2.168883695,-122.588,0.033977403,5.309455377,5.677340668
31-12-2015,6.454568671,5.339265851,-13.44177887,-1.542794366,-19.26,-0.250295685,5.023694359,5.309455377
31-03-2016,6.467735676,5.258764608,-22.49888137,-2.334059371,-21.906,0.059150387,4.738788904,5.023694359
30-06-2016,6.478007549,5.666575417,36.90609612,0.852723397,-28.608,0.135685382,4.500462884,4.738788904
30-09-2016,6.488611608,5.163188871,-0.243103793,-0.041981835,13.176,0.344393009,4.280991693,4.500462884
31-12-2016,6.490926988,3.748680042,9.792609534,-0.736950161,-41.066,0.011161621,4.079999986,4.280991693
31-03-2017,6.493636397,3.568596352,7.931690522,0.672829219,-4.212,-0.274644967,3.941232277,4.079999986
30-06-2017,6.504583825,2.202072539,-6.687791159,3.958874186,-13.526,0.030462023,3.811165137,3.941232277
30-09-2017,6.512135399,2.976341898,1.569703378,0.25243667,-24.686,0.033593071,3.758911047,3.811165137
31-12-2017,6.517234806,4.554707379,16.93125208,-0.68257395,10.086,-0.172468828,3.759066173,3.758911047
31-03-2018,6.528650509,4.594180704,10.11891237,0.665353047,-37.854,0.102841606,3.767505844,3.759066173
30-06-2018,6.539860561,4.790874525,10.49590756,-4.078896187,-37.634,0.435095085,3.822236749,3.767505844
30-09-2018,6.540647174,3.853754941,2.29380641,-4.272447676,-37.008,0.086950101,3.893979226,3.822236749
31-12-2018,6.540185046,2.604039912,-11.91620774,-2.873608039,-37.116,-0.315918973,3.994399457,3.893979226
31-03-2019,6.548958328,2.464616886,-5.958446319,2.28653957,0.926,-0.061788093,4.145304602,3.994399457
30-06-2019,6.568557884,3.072085148,7.529705609,1.343420491,-98.96,1.186890167,4.332076551,4.145304602
30-09-2019,6.559345594,3.472882969,-8.189441682,-1.103549546,118.8,0.540997142,4.527474879,4.332076551
31-12-2019,6.550464236,5.834914611,1.028722368,-1.255455343,100.722,0.32362979,4.771591376,4.527474879
31-03-2020,6.557264961,6.668254346,-18.70039956,-1.562423018,8.562,1.844876863,4.986676695,4.771591376
30-06-2020,6.46030969,6.571227411,-38.25108147,-4.609471692,7.152,-5.234197668,5.180112678,4.986676695
30-09-2020,6.532819061,6.896551724,38.76173709,1.976778002,105.188,0.113312389,5.373822849,5.180112678
31-12-2020,6.555687498,6.364858808,3.824804396,0.871914465,2.654,0.785220651,5.537037109,5.373822849
31-03-2021,6.567764028,4.867157848,35.87158532,1.176359466,-23.89,0.992786928,5.663926943,5.537037109
30-06-2021,6.550545196,5.593481612,13.07313235,-1.144902049,57.42,-0.883531495,5.820578376,5.663926943
30-09-2021,6.569810976,5.075268817,6.858781031,-0.484793197,-21.6,0.093451771,5.935679633,5.820578376
31-12-2021,6.577485354,4.993678887,9.256416222,-1.156780856,53.9,0.02769392,6.046898345,5.935679633
31-03-2022,6.583203757,6.344475197,23.42521361,-0.389597984,-2.6,-0.205293131,6.177344254,6.046898345
30-06-2022,6.604842424,7.278415016,13.95501276,-2.589442886,7.5,0.938292588,6.293807474,6.177344254
30-09-2022,6.596149361,7.040523946,-12.42267365,-3.207663286,69.5,-0.141216374,6.385266615,6.293807474
31-12-2022,6.597466674,6.140878989,-11.5829137,-2.909523351,23,-0.364076656,6.46184973,6.385266615
31-03-2023,6.607602987,6.206206206,-7.285191128,-0.069312779,-17.8,-0.006741768,6.555529281,6.46184973
