period,actual_inflation,predicted_inflation,forecast_horizon,error,absolute_error,squared_error
64,2.202072539,-0.8367590321643092,1,3.0388315711643092,3.0388315711643092,9.234497317904944
65,2.976341898,-0.8364187616891504,1,3.8127606596891503,3.8127606596891503,14.537143848073246
66,4.554707379,-0.8367937318770566,1,5.391501110877057,5.391501110877057,29.06828422858854
67,4.594180704,-0.8366164898111015,1,5.4307971938111015,5.4307971938111015,29.493558160306534
68,4.790874525,-0.8360530905967242,1,5.626927615596725,5.626927615596725,31.662314391165044
69,3.853754941,-0.8369813856362325,1,4.690736326636232,4.690736326636232,22.003007286024772
70,2.604039912,-0.8365430158213946,1,3.440582927821395,3.440582927821395,11.837610883216042
71,2.464616886,-0.8373377717321572,1,3.301954657732157,3.301954657732157,10.902904561719087
72,3.072085148,-0.8370837111667007,1,3.9091688591667006,3.9091688591667006,15.281601169478684
73,3.472882969,-0.5602480961212956,1,4.033131065121296,4.033131065121296,16.266146188446438
74,5.834914611,-0.5621687807939117,1,6.397083391793912,6.397083391793912,40.92267592156551
75,6.668254346,-0.5699023689539519,1,7.238156714953952,7.238156714953952,52.39091263023299
76,6.571227411,-0.5583914555251974,1,7.129618866525197,7.129618866525197,50.83146518191204
77,6.896551724,-0.5612631547929048,1,7.457814878792905,7.457814878792905,55.619002766344835
78,6.364858808,-0.5562292031613263,1,6.921088011161326,6.921088011161326,47.90145925824104
79,4.867157848,-0.5554937344045371,1,5.422651582404537,5.422651582404537,29.40515018415443
80,5.593481612,-0.5535967431290586,1,6.147078355129058,6.147078355129058,37.78657230409617
81,5.075268817,-0.5542293031556104,1,5.629498120155611,5.629498120155611,31.691249084835555
82,4.993678887,-0.5531707049493557,1,5.546849591949355,5.546849591949355,30.76754039570873
83,6.344475197,-0.5545610983729334,1,6.899036295372934,6.899036295372934,47.59670180487309
84,7.278415016,-0.554256517088462,1,7.832671533088463,7.832671533088463,61.350743345254365
85,7.040523946,-0.55178698600267,1,7.59231093200267,7.59231093200267,57.64318528820725
86,6.140878989,-0.5543914879940058,1,6.695270476994006,6.695270476994006,44.82664676010754
87,6.206206206,-0.5553491901253664,1,6.761555396125367,6.761555396125367,45.71863137487207
64,2.976341898,-0.8367631872864632,2,3.813105085286463,3.813105085286463,14.539770391437484
65,4.554707379,-0.836442231501887,2,5.391149610501887,5.391149610501887,29.064494122814647
66,4.594180704,-0.83679179696062,2,5.43097250096062,5.43097250096062,29.495462306190454
67,4.790874525,-0.8366219861006212,2,5.627496511100622,5.627496511100622,31.668716982449673
68,3.853754941,-0.8360832299825827,2,4.689838170982583,4.689838170982583,21.994582070005258
69,2.604039912,-0.8370151991960991,2,3.4410551111960994,3.4410551111960994,11.8408602782888
70,2.464616886,-0.8365403084396184,2,3.301157194439618,3.301157194439618,10.89763882240045
71,3.072085148,-0.8373442504533753,2,3.9094293984533754,3.9094293984533754,15.283638221491522
72,3.472882969,-0.8370902613575166,2,4.3099732303575164,4.3099732303575164,18.575869246398405
73,5.834914611,-0.5603096943729078,2,6.395224305372908,6.395224305372908,40.89889391603239
74,6.668254346,-0.5621506461539336,2,7.230404992153934,7.230404992153934,52.278756350564535
75,6.571227411,-0.5698952400951545,2,7.141122651095154,7.141122651095154,50.99563271798428
76,6.896551724,-0.5583464690977535,2,7.454898193097754,7.454898193097754,55.57550706945216
77,6.364858808,-0.5612079010581259,2,6.9260667090581265,6.9260667090581265,47.970400058323264
78,4.867157848,-0.5562316911259394,2,5.423389539125939,5.423389539125939,29.413154093100662
79,5.593481612,-0.5554366106667278,2,6.148918222666728,6.148918222666728,37.80919530904295
80,5.075268817,-0.5536330637286514,2,5.628901880728652,5.628901880728652,31.68453638287055
81,4.993678887,-0.5542321096414443,2,5.547910996641444,5.547910996641444,30.77931642665506
82,6.344475197,-0.5531645815746995,2,6.8976397785747,6.8976397785747,47.577434514976034
83,7.278415016,-0.5545692091649738,2,7.832984225164974,7.832984225164974,61.35564187168333
84,7.040523946,-0.5542370057224649,2,7.594760951722465,7.594760951722465,57.680393913808324
85,6.140878989,-0.5518308308442164,2,6.692709819844216,6.692709819844216,44.7923647326392
86,6.206206206,-0.5544154152713279,2,6.760621621271328,6.760621621271328,45.70600470600136
64,4.554707379,-0.836735834468527,3,5.391443213468527,5.391443213468527,29.06765992405584
65,4.594180704,-0.836436532659436,3,5.430617236659436,5.430617236659436,29.491603571102566
66,4.790874525,-0.8367940558525608,3,5.6276685808525615,5.6276685808525615,31.670653655915082
67,3.853754941,-0.836614946896221,3,4.690369887896221,4.690369887896221,21.99956968528361
68,2.604039912,-0.8361345133981358,3,3.440174425398136,3.440174425398136,11.834800077163395
69,2.464616886,-0.8370616198447808,3,3.3016785058447806,3.3016785058447806,10.901080955957424
70,3.072085148,-0.8365572221264426,3,3.9086423701264428,3.9086423701264428,15.277485177547655
71,3.472882969,-0.8373595411535495,3,4.310242510153549,4.310242510153549,18.57819049633477
72,5.834914611,-0.8371077939747072,3,6.672022404974707,6.672022404974707,44.51588297248448
73,6.668254346,-0.5604076154820816,3,7.228661961482082,7.228661961482082,52.253553753377986
74,6.571227411,-0.5621796391474398,3,7.13340705014744,7.13340705014744,50.8854961430932
75,6.896551724,-0.570128018335569,3,7.466679742335569,7.466679742335569,55.75130637460436
76,6.364858808,-0.5584199277652422,3,6.923278735765242,6.923278735765242,47.93178845309917
77,4.867157848,-0.5618089106550812,3,5.428966758655081,5.428966758655081,29.473680066581856
78,5.593481612,-0.5562706166957859,3,6.149752228695785,6.149752228695785,37.81945247434878
79,5.075268817,-0.5554183109321204,3,5.630687127932121,5.630687127932121,31.704637532660477
80,4.993678887,-0.5536654797556435,3,5.5473443667556435,5.5473443667556435,30.77302952337557
81,6.344475197,-0.5542104722141594,3,6.89868566921416,6.89868566921416,47.59186396262082
82,7.278415016,-0.5532280146914449,3,7.8316430306914455,7.8316430306914455,61.33463256017789
83,7.040523946,-0.5547576952253781,3,7.5952816412253785,7.5952816412253785,57.68830320953528
84,6.140878989,-0.5543488579458375,3,6.695227846945837,6.695227846945837,44.82607592251899
85,6.206206206,-0.5519399431935513,3,6.758146149193552,6.758146149193552,45.672539373859635
