period,actual_inflation,predicted_inflation,forecast_horizon,error,absolute_error,squared_error
64,2.202072539,3.6113585399574424,1,-1.4092860009574424,1.4092860009574424,1.9860870324946203
65,2.976341898,3.408542417841596,1,-0.43220051984159635,0.43220051984159635,0.18679728935134612
66,4.554707379,2.0485154227521365,1,2.5061919562478634,2.5061919562478634,6.280998121561493
67,4.594180704,4.042962601445175,1,0.5512181025548255,0.5512181025548255,0.3038413965841421
68,4.790874525,3.817600929365476,1,0.9732735956345246,0.9732735956345246,0.9472614919593562
69,3.853754941,5.4965896099816245,1,-1.6428346689816244,1.6428346689816244,2.6989057496079636
70,2.604039912,5.711430154952464,1,-3.107390242952464,3.107390242952464,9.655874121996174
71,2.464616886,7.552162126377046,1,-5.087545240377046,5.087545240377046,25.883116572883132
72,3.072085148,6.940172146767156,1,-3.868086998767156,3.868086998767156,14.962097030031504
73,3.472882969,7.523046160949427,1,-4.0501631919494265,4.0501631919494265,16.40382188142197
74,5.834914611,4.356614560668232,1,1.478300050331768,1.478300050331768,2.1853710388109078
75,6.668254346,6.484538863715953,1,0.18371548228404766,0.18371548228404766,0.03375137843086023
76,6.571227411,5.898274642939667,1,0.6729527680603331,0.6729527680603331,0.45286542804006447
77,6.896551724,4.44804914656739,1,2.4485025774326097,2.4485025774326097,5.995164871694133
78,6.364858808,3.7233230032151106,1,2.6415358047848896,2.6415358047848896,6.9777114079605544
79,4.867157848,5.572741641824223,1,-0.7055837938242231,0.7055837938242231,0.49784849010738375
80,5.593481612,4.061499250581049,1,1.531982361418951,1.531982361418951,2.346969955698785
81,5.075268817,3.2099461238795493,1,1.8653226931204512,1.8653226931204512,3.479428749470133
82,4.993678887,5.572916637792964,1,-0.5792377507929647,0.5792377507929647,0.33551637194369266
83,6.344475197,3.056433871951672,1,3.2880413250483285,3.2880413250483285,10.811215755225568
84,7.278415016,2.42776920641513,1,4.85064580958487,4.85064580958487,23.528764770043264
85,7.040523946,5.5002592579010985,1,1.540264688098902,1.540264688098902,2.3724153094044076
86,6.140878989,6.5079861234390375,1,-0.36710713443903753,0.36710713443903753,0.1347676481560416
87,6.206206206,4.493015101314894,1,1.713191104685106,1.713191104685106,2.935023761172174
64,2.976341898,3.498510283811636,2,-0.5221683858116362,0.5221683858116362,0.2726598231411297
65,4.554707379,3.6041488028986337,2,0.9505585761013662,0.9505585761013662,0.9035616065998567
66,4.594180704,2.0317902462586312,2,2.562390457741369,2.562390457741369,6.565844857924023
67,4.790874525,3.9311841000621275,2,0.859690424937873,0.859690424937873,0.7390676267298606
68,3.853754941,4.056897109740994,2,-0.20314216874099422,0.20314216874099422,0.04126674072079457
69,2.604039912,5.078525294503221,2,-2.4744853825032207,2.4744853825032207,6.12307790822211
70,2.464616886,6.153265488332416,2,-3.6886486023324156,3.6886486023324156,13.606128511488883
71,3.072085148,8.306510348810763,2,-5.234425200810763,5.234425200810763,27.39920718288279
72,3.472882969,6.92687479636188,2,-3.45399182736188,3.45399182736188,11.93005954348266
73,5.834914611,5.980548345166052,2,-0.14563373416605163,0.14563373416605163,0.021209184527148196
74,6.668254346,5.235977661932379,2,1.432276684067621,1.432276684067621,2.0514164997237403
75,6.571227411,6.1555054487166325,2,0.4157219622833672,0.4157219622833672,0.1728247499247334
76,6.896551724,5.2476083364248725,2,1.6489433875751276,1.6489433875751276,2.7190142954277374
77,6.364858808,4.552269908312692,2,1.8125888996873085,1.8125888996873085,3.2854785192696476
78,4.867157848,2.985479831920971,2,1.8816780160790287,1.8816780160790287,3.5407121561951094
79,5.593481612,4.45233597872017,2,1.1411456332798293,1.1411456332798293,1.3022133563536227
80,5.075268817,3.8951213231778894,2,1.180147493822111,1.180147493822111,1.3927481071746095
81,4.993678887,2.6347830060446698,2,2.35889588095533,2.35889588095533,5.564389777188023
82,6.344475197,5.795950745361932,2,0.5485244516380687,0.5485244516380687,0.300879074044844
83,7.278415016,3.7006104716853603,2,3.57780454431464,3.57780454431464,12.800685357318489
84,7.040523946,2.931049612393566,2,4.1094743336064345,4.1094743336064345,16.88777929857005
85,6.140878989,5.345879125382349,2,0.794999863617651,0.794999863617651,0.6320247831520837
86,6.206206206,5.811757567031989,2,0.39444863896801063,0.39444863896801063,0.155589728783716
64,4.554707379,4.0318730976170265,3,0.5228342813829734,0.5228342813829734,0.2733556857892502
65,4.594180704,2.878829232253805,3,1.715351471746195,1.715351471746195,2.9424306716218376
66,4.790874525,2.974244344242415,3,1.8166301807575853,1.8166301807575853,3.300145213639337
67,3.853754941,4.680988104630449,3,-0.8272331636304493,0.8272331636304493,0.6843147070100417
68,2.604039912,3.007301420941718,3,-0.40326150894171775,0.40326150894171775,0.1626198445939511
