period,actual_inflation,predicted_inflation,forecast_horizon,error,absolute_error,squared_error
64,2.202072539,4.188342005,1,-1.986269466,1.986269466,3.945266393
65,2.976341898,5.206271084,1,-2.229929186,2.229929186,4.972584176
66,4.554707379,4.664684879,1,-0.1099775,0.1099775,0.01209505
67,4.594180704,4.830485897,1,-0.236305193,0.236305193,0.055840144
68,4.790874525,6.630458864,1,-1.839584339,1.839584339,3.384070541
69,3.853754941,6.567588829,1,-2.713833888,2.713833888,7.364894373
70,2.604039912,5.255345675,1,-2.651305763,2.651305763,7.029422251
71,2.464616886,4.807285835,1,-2.342668949,2.342668949,5.488097805
72,3.072085148,7.862305876,1,-4.790220728,4.790220728,22.94621463
73,3.472882969,5.715286963,1,-2.242403994,2.242403994,5.028375674
74,5.834914611,5.242885464,1,0.592029147,0.592029147,0.35049851
75,6.668254346,5.44859755,1,1.219656796,1.219656796,1.487562701
76,6.571227411,8.118191235,1,-1.546963824,1.546963824,2.393097072
77,6.896551724,7.383466603,1,-0.486914879,0.486914879,0.2370861
78,6.364858808,6.693420903,1,-0.328562095,0.328562095,0.10795305
79,4.867157848,3.459670851,1,1.407486997,1.407486997,1.981019646
80,5.593481612,8.712406099,1,-3.118924487,3.118924487,9.727689953
81,5.075268817,5.792019773,1,-0.716750956,0.716750956,0.513731932
82,4.993678887,6.20213333,1,-1.208454443,1.208454443,1.46036214
83,6.344475197,6.413205899,1,-0.068730702,0.068730702,0.004723909
84,7.278415016,6.35501447,1,0.923400546,0.923400546,0.852668568
85,7.040523946,4.316191205,1,2.724332741,2.724332741,7.421988882
86,6.140878989,6.260389962,1,-0.119510973,0.119510973,0.014282873
87,6.206206206,2.825430021,1,3.380776185,3.380776185,11.42964761
64,2.976341898,3.077232614,2,-0.100890716,0.100890716,0.010178937
65,4.554707379,5.413442204,2,-0.858734825,0.858734825,0.7374255
66,4.594180704,4.381187266,2,0.212993438,0.212993438,0.045366205
67,4.790874525,5.220832062,2,-0.429957537,0.429957537,0.184863484
68,3.853754941,6.886652643,2,-3.032897702,3.032897702,9.198468473
69,2.604039912,5.758372068,2,-3.154332156,3.154332156,9.949811349
70,2.464616886,5.414435212,2,-2.949818326,2.949818326,8.701428154
71,3.072085148,4.896412711,2,-1.824327563,1.824327563,3.328171057
72,3.472882969,6.931801514,2,-3.458918545,3.458918545,11.9641175
73,5.834914611,5.472951439,2,0.361963172,0.361963172,0.131017338
74,6.668254346,5.07809845,2,1.590155896,1.590155896,2.528595774
75,6.571227411,5.585314586,2,0.985912825,0.985912825,0.972024098
76,6.896551724,8.304373683,2,-1.407821959,1.407821959,1.981962669
77,6.364858808,7.744451434,2,-1.379592626,1.379592626,1.903275812
78,4.867157848,5.619488627,2,-0.752330779,0.752330779,0.566001601
79,5.593481612,3.341741656,2,2.251739956,2.251739956,5.07033283
80,5.075268817,8.792905843,2,-3.717637026,3.717637026,13.82082506
81,4.993678887,4.990082224,2,0.003596663,0.003596663,1.29E-05
82,6.344475197,6.532637325,2,-0.188162128,0.188162128,0.035404986
83,7.278415016,6.537956815,2,0.740458201,0.740458201,0.548278347
84,7.040523946,7.255114801,2,-0.214590855,0.214590855,0.046049235
85,6.140878989,4.960411723,2,1.180467266,1.180467266,1.393502967
86,6.206206206,5.759499837,2,0.446706369,0.446706369,0.19954658
64,4.554707379,3.618103196,3,0.936604183,0.936604183,0.877227395
65,4.594180704,5.206934581,3,-0.612753877,0.612753877,0.375467313
66,4.790874525,4.757517752,3,0.033356773,0.033356773,0.001112674
67,3.853754941,5.073233445,3,-1.219478504,1.219478504,1.487127822
68,2.604039912,5.863105798,3,-3.259065886,3.259065886,10.62151045
69,2.464616886,5.964229953,3,-3.499613067,3.499613067,12.24729162
70,3.072085148,5.544092045,3,-2.472006897,2.472006897,6.1108181
71,3.472882969,4.471826297,3,-0.998943328,0.998943328,0.997887772
72,5.834914611,6.581654429,3,-0.746739818,0.746739818,0.557620356
73,6.668254346,7.17130528,3,-0.503050934,0.503050934,0.253060243
74,6.571227411,5.710464511,3,0.8607629,0.8607629,0.74091277
75,6.896551724,5.777584587,3,1.118967137,1.118967137,1.252087454
76,6.364858808,8.152569819,3,-1.787711011,1.787711011,3.195910658
77,4.867157848,7.505917203,3,-2.638759355,2.638759355,6.963050933
78,5.593481612,5.694293705,3,-0.100812093,0.100812093,0.010163078
79,5.075268817,2.398489706,3,2.676779111,2.676779111,7.165146407
80,4.993678887,7.215138325,3,-2.221459438,2.221459438,4.934882034
81,6.344475197,5.76388229,3,0.580592907,0.580592907,0.337088124
82,7.278415016,7.310250207,3,-0.031835191,0.031835191,0.001013479
83,7.040523946,7.756139212,3,-0.715615266,0.715615266,0.512105209
84,6.140878989,7.087627838,3,-0.946748849,0.946748849,0.896333382
85,6.206206206,4.002973063,3,2.203233143,2.203233143,4.854236281
64,4.594180704,3.290162731,4,1.304017973,1.304017973,1.700462874
65,4.790874525,5.189352606,4,-0.398478081,0.398478081,0.158784781
66,3.853754941,4.841394192,4,-0.987639251,0.987639251,0.97543129
67,2.604039912,5.039702687,4,-2.435662775,2.435662775,5.932453155
68,2.464616886,6.189354758,4,-3.724737872,3.724737872,13.87367221
69,3.072085148,6.117134302,4,-3.045049154,3.045049154,9.272324352
70,3.472882969,4.600098578,4,-1.127215609,1.127215609,1.27061503
71,5.834914611,4.290159109,4,1.544755502,1.544755502,2.38626956
72,6.668254346,6.565859774,4,0.102394572,0.102394572,0.010484648
73,6.571227411,6.93179026,4,-0.360562849,0.360562849,0.130005568
74,6.896551724,5.503928836,4,1.392622888,1.392622888,1.939398507
75,6.364858808,6.429139669,4,-0.064280861,0.064280861,0.004132029
76,4.867157848,7.399393674,4,-2.532235826,2.532235826,6.412218278
77,5.593481612,6.126773826,4,-0.533292214,0.533292214,0.284400586
78,5.075268817,5.338391646,4,-0.263122829,0.263122829,0.069233623
79,4.993678887,2.656958582,4,2.336720305,2.336720305,5.460261785
80,6.344475197,7.868159985,4,-1.523684788,1.523684788,2.321615333
81,7.278415016,6.151553915,4,1.126861101,1.126861101,1.269815941
82,7.040523946,8.315409412,4,-1.274885466,1.274885466,1.62533295
83,6.140878989,7.011769197,4,-0.870890208,0.870890208,0.758449755
84,6.206206206,6.52678375,4,-0.320577544,0.320577544,0.102769962
