Level1,Level2,MDRAE,RMSE,SMAPE,Theil's U
backward,ax,1.4846195233918438,1.5920166115222416,25.44195955812056,0.1433772485897543
backward,lasso,1.2961166680562617,1.0444463287832777,16.470798803007856,0.0954489146779716
backward,rf,1.3882083255527151,0.9711313909308735,16.859249822538345,0.09047774473471717
backward,ridge,1.3333385786735508,1.2279788512562448,19.04191720230979,0.11107643184128753
backward,xgb,1.4631469354380364,1.0751098844838458,17.692826891313533,0.09920539622561209
forward,ax,1.4303451956222946,2.144658726720262,27.7591120447418,0.1911154833994564
forward,lasso,1.5047617077692041,1.4465859326445492,25.883164819757283,0.1380978551286055
forward,rf,1.2850752827421243,1.0114794388277895,18.594126648942783,0.09569638735929097
forward,ridge,1.967355737249777,1.629272232091334,26.786191565648753,0.15067381055686105
forward,xgb,1.4170304672412428,1.2106764350244485,20.52822633037162,0.11322859912456648
hybrid,ax,1.6939419683236636,1.652457612249315,26.030232051524894,0.15005849048360748
hybrid,lasso,1.3632605332875634,1.1167765850352689,17.91948388371261,0.10452481618836866
hybrid,rf,1.2692931150855236,0.9440104062694765,16.83786782249659,0.0888791242379215
hybrid,ridge,1.5472303897248854,1.3045652441828801,21.78666620756194,0.12018247574557306
hybrid,xgb,1.5513524091621715,1.0421517127015472,17.771165720682234,0.09698645715430054
level_0,ax,Value,Value,Value,Value
level_0,lasso,Value,Value,Value,Value
level_0,rf,Value,Value,Value,Value
level_0,ridge,Value,Value,Value,Value
level_0,xgb,Value,Value,Value,Value
